"Plot Title: F4"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 10919527, SEN S/N: 10919527)","Intensity, Lux (LGR S/N: 10919527, SEN S/N: 10919527)","Coupler Attached (LGR S/N: 10919527, SEN S/N: 10919527)","Host Connected (LGR S/N: 10919527, SEN S/N: 10919527)","Coupler Detached (LGR S/N: 10919527, SEN S/N: 10919527)","End Of File (LGR S/N: 10919527, SEN S/N: 10919527)"
1,06/16/18 12:00:00 PM,30.356,4650.0,,,,
2,06/16/18 01:00:00 PM,30.760,5511.1,,,,
3,06/16/18 02:00:00 PM,31.370,4650.0,,,,
4,06/16/18 03:00:00 PM,31.983,1324.0,,,,
5,06/16/18 04:00:00 PM,32.600,2755.6,,,,
6,06/16/18 05:00:00 PM,33.014,613.5,,,,
7,06/16/18 06:00:00 PM,33.222,818.1,,,,
8,06/16/18 07:00:00 PM,33.326,3444.5,,,,
9,06/16/18 08:00:00 PM,32.497,1216.3,,,,
10,06/16/18 09:00:00 PM,31.778,0.0,,,,
11,06/16/18 10:00:00 PM,31.064,0.0,,,,
12,06/16/18 11:00:00 PM,30.457,0.0,,,,
13,06/17/18 12:00:00 AM,29.853,0.0,,,,
14,06/17/18 01:00:00 AM,29.352,0.0,,,,
15,06/17/18 02:00:00 AM,28.853,0.0,,,,
16,06/17/18 03:00:00 AM,28.456,0.0,,,,
17,06/17/18 04:00:00 AM,27.961,0.0,,,,
18,06/17/18 05:00:00 AM,27.665,0.0,,,,
19,06/17/18 06:00:00 AM,27.173,10.8,,,,
20,06/17/18 07:00:00 AM,26.879,2152.8,,,,
21,06/17/18 08:00:00 AM,26.879,8266.7,,,,
22,06/17/18 09:00:00 AM,28.357,49600.3,,,,
23,06/17/18 10:00:00 AM,30.154,85422.8,,,,
24,06/17/18 11:00:00 AM,29.953,6200.0,,,,
25,06/17/18 12:00:00 PM,30.356,1463.9,,,,
26,06/17/18 01:00:00 PM,30.963,4305.6,,,,
27,06/17/18 02:00:00 PM,31.370,2497.2,,,,
28,06/17/18 03:00:00 PM,31.983,6200.0,,,,
29,06/17/18 04:00:00 PM,32.291,3100.0,,,,
30,06/17/18 05:00:00 PM,32.497,1894.5,,,,
31,06/17/18 06:00:00 PM,32.600,645.8,,,,
32,06/17/18 07:00:00 PM,32.497,204.5,,,,
33,06/17/18 08:00:00 PM,31.983,107.6,,,,
34,06/17/18 09:00:00 PM,31.370,0.0,,,,
35,06/17/18 10:00:00 PM,30.760,0.0,,,,
36,06/17/18 11:00:00 PM,30.255,0.0,,,,
37,06/18/18 12:00:00 AM,29.752,0.0,,,,
38,06/18/18 01:00:00 AM,29.252,0.0,,,,
39,06/18/18 02:00:00 AM,28.853,0.0,,,,
40,06/18/18 03:00:00 AM,28.456,0.0,,,,
41,06/18/18 04:00:00 AM,28.159,0.0,,,,
42,06/18/18 05:00:00 AM,27.862,0.0,,,,
43,06/18/18 06:00:00 AM,27.567,0.0,,,,
44,06/18/18 07:00:00 AM,27.370,1894.5,,,,
45,06/18/18 08:00:00 AM,27.370,5166.7,,,,
46,06/18/18 09:00:00 AM,28.853,41333.6,,,,
47,06/18/18 10:00:00 AM,28.159,2497.2,,,,
48,06/18/18 11:00:00 AM,28.853,6200.0,,,,
49,06/18/18 12:00:00 PM,29.252,1722.2,,,,
50,06/18/18 01:00:00 PM,29.552,1259.4,,,,
51,06/18/18 02:00:00 PM,30.054,6544.5,,,,
52,06/18/18 03:00:00 PM,30.659,8266.7,,,,
53,06/18/18 04:00:00 PM,31.268,1270.1,,,,
54,06/18/18 05:00:00 PM,31.574,1463.9,,,,
55,06/18/18 06:00:00 PM,31.676,818.1,,,,
56,06/18/18 07:00:00 PM,31.676,247.6,,,,
57,06/18/18 08:00:00 PM,31.166,96.9,,,,
58,06/18/18 09:00:00 PM,30.760,0.0,,,,
59,06/18/18 10:00:00 PM,30.255,0.0,,,,
60,06/18/18 11:00:00 PM,29.853,0.0,,,,
61,06/19/18 12:00:00 AM,29.352,0.0,,,,
62,06/19/18 01:00:00 AM,28.853,0.0,,,,
63,06/19/18 02:00:00 AM,28.456,0.0,,,,
64,06/19/18 03:00:00 AM,28.159,0.0,,,,
65,06/19/18 04:00:00 AM,27.862,0.0,,,,
66,06/19/18 05:00:00 AM,27.567,0.0,,,,
67,06/19/18 06:00:00 AM,27.272,0.0,,,,
68,06/19/18 07:00:00 AM,26.977,183.0,,,,
69,06/19/18 08:00:00 AM,26.781,430.6,,,,
70,06/19/18 09:00:00 AM,26.683,505.9,,,,
71,06/19/18 10:00:00 AM,26.781,1980.6,,,,
72,06/19/18 11:00:00 AM,27.173,6200.0,,,,
73,06/19/18 11:07:32 AM,,,Logged,,,
74,06/19/18 11:07:38 AM,,,,Logged,,
75,06/19/18 11:09:05 AM,,,,,Logged,
76,06/19/18 12:00:00 PM,27.665,4822.3,,,,
77,06/19/18 01:00:00 PM,28.060,4477.8,,,,
78,06/19/18 02:00:00 PM,28.357,8611.2,,,,
79,06/19/18 03:00:00 PM,29.053,8611.2,,,,
80,06/19/18 04:00:00 PM,29.552,4822.3,,,,
81,06/19/18 05:00:00 PM,30.054,5511.1,,,,
82,06/19/18 06:00:00 PM,30.255,1722.2,,,,
83,06/19/18 07:00:00 PM,30.054,452.1,,,,
84,06/19/18 08:00:00 PM,29.752,96.9,,,,
85,06/19/18 09:00:00 PM,29.452,0.0,,,,
86,06/19/18 10:00:00 PM,29.152,0.0,,,,
87,06/19/18 11:00:00 PM,28.853,0.0,,,,
88,06/20/18 12:00:00 AM,28.655,0.0,,,,
89,06/20/18 01:00:00 AM,28.258,0.0,,,,
90,06/20/18 02:00:00 AM,27.961,0.0,,,,
91,06/20/18 03:00:00 AM,27.567,0.0,,,,
92,06/20/18 04:00:00 AM,27.370,0.0,,,,
93,06/20/18 05:00:00 AM,27.075,0.0,,,,
94,06/20/18 06:00:00 AM,26.781,0.0,,,,
95,06/20/18 07:00:00 AM,26.585,53.8,,,,
96,06/20/18 08:00:00 AM,26.585,871.9,,,,
97,06/20/18 09:00:00 AM,26.585,667.4,,,,
98,06/20/18 10:00:00 AM,26.977,1722.2,,,,
99,06/20/18 11:00:00 AM,27.370,5511.1,,,,
100,06/20/18 12:00:00 PM,28.060,1894.5,,,,
101,06/20/18 01:00:00 PM,28.853,9300.1,,,,
102,06/20/18 02:00:00 PM,29.652,2927.8,,,,
103,06/20/18 03:00:00 PM,30.457,5166.7,,,,
104,06/20/18 04:00:00 PM,31.064,2755.6,,,,
105,06/20/18 05:00:00 PM,31.676,4477.8,,,,
106,06/20/18 06:00:00 PM,32.086,1377.8,,,,
107,06/20/18 07:00:00 PM,31.983,53.8,,,,
108,06/20/18 08:00:00 PM,30.862,279.9,,,,
109,06/20/18 09:00:00 PM,30.457,0.0,,,,
110,06/20/18 10:00:00 PM,29.953,0.0,,,,
111,06/20/18 11:00:00 PM,29.552,0.0,,,,
112,06/21/18 12:00:00 AM,29.152,0.0,,,,
113,06/21/18 01:00:00 AM,28.754,0.0,,,,
114,06/21/18 02:00:00 AM,28.357,0.0,,,,
115,06/21/18 03:00:00 AM,27.961,0.0,,,,
116,06/21/18 04:00:00 AM,27.665,0.0,,,,
117,06/21/18 05:00:00 AM,27.272,0.0,,,,
118,06/21/18 06:00:00 AM,26.879,0.0,,,,
119,06/21/18 07:00:00 AM,26.683,247.6,,,,
120,06/21/18 08:00:00 AM,26.585,344.4,,,,
121,06/21/18 09:00:00 AM,26.879,2238.9,,,,
122,06/21/18 10:00:00 AM,27.665,2325.0,,,,
